Record Length,10000,Points,-5.00E-02,-1.20E-01,,Record Length,10000,Points,-5.00E-02,4.00E-02
Sample Interval,1.00E-05,s,-5.00E-02,4.00E-02,,Sample Interval,1.00E-05,s,-5.00E-02,-4.00E-02
Trigger Point,5.00E+03,Samples,-5.00E-02,-4.00E-02,,Trigger Point,5.00E+03,Samples,-5.00E-02,-4.00E-02
,,,-5.00E-02,4.00E-02,,,,,-5.00E-02,4.00E-02
,,,-5.00E-02,-4.00E-02,,,,,-5.00E-02,-4.00E-02
,,,-4.99E-02,4.00E-02,,,,,-4.99E-02,-4.00E-02
Source,CH1,,-4.99E-02,-4.00E-02,,Source,CH2,,-4.99E-02,4.00E-02
Vertical Units,V,,-4.99E-02,-4.00E-02,,Vertical Units,V,,-4.99E-02,-4.00E-02
Vertical Scale,2.0000001,,-4.99E-02,4.00E-02,,Vertical Scale,2.0000001,,-4.99E-02,4.00E-02
Vertical Offset,0,,-4.99E-02,-4.00E-02,,Vertical Offset,0,,-4.99E-02,-4.00E-02
Horizontal Units,s,,-4.99E-02,4.00E-02,,Horizontal Units,s,,-4.99E-02,4.00E-02
Horizontal Scale,1.00E-02,,-4.99E-02,-4.00E-02,,Horizontal Scale,1.00E-02,,-4.99E-02,-4.00E-02
Pt Fmt,Y,,-4.99E-02,4.00E-02,,Pt Fmt,Y,,-4.99E-02,-4.00E-02
Yzero,-3.02,,-4.99E-02,-1.20E-01,,Yzero,-3.02,,-4.99E-02,-4.00E-02
Probe Atten,10,,-4.99E-02,4.00E-02,,Probe Atten,10,,-4.99E-02,-4.00E-02
,,,-4.99E-02,4.00E-02,,,,,-4.99E-02,4.00E-02
Note,MDO3054 - 12:53:50 PM   11/18/2016,,-4.98E-02,4.00E-02,,Note,MDO3054 - 12:53:50 PM   11/18/2016,,-4.98E-02,-4.00E-02
,,,-4.98E-02,4.00E-02,,,,,-4.98E-02,4.00E-02
,,,-4.98E-02,-1.20E-01,,,,,-4.98E-02,4.00E-02
,,,-4.98E-02,4.00E-02,,,,,-4.98E-02,4.00E-02
,,,-4.98E-02,4.00E-02,,,,,-4.98E-02,4.00E-02
,,,-4.98E-02,-4.00E-02,,,,,-4.98E-02,-4.00E-02
,,,-4.98E-02,4.00E-02,,,,,-4.98E-02,-4.00E-02
,,,-4.98E-02,4.00E-02,,,,,-4.98E-02,-4.00E-02
,,,-4.98E-02,-4.00E-02,,,,,-4.98E-02,4.00E-02
,,,-4.98E-02,-4.00E-02,,,,,-4.98E-02,-4.00E-02
,,,-4.97E-02,-1.20E-01,,,,,-4.97E-02,4.00E-02
,,,-4.97E-02,-4.00E-02,,,,,-4.97E-02,4.00E-02
,,,-4.97E-02,4.00E-02,,,,,-4.97E-02,4.00E-02
,,,-4.97E-02,-4.00E-02,,,,,-4.97E-02,-4.00E-02
,,,-4.97E-02,-4.00E-02,,,,,-4.97E-02,-4.00E-02
,,,-4.97E-02,4.00E-02,,,,,-4.97E-02,-4.00E-02
,,,-4.97E-02,4.00E-02,,,,,-4.97E-02,-4.00E-02
,,,-4.97E-02,-4.00E-02,,,,,-4.97E-02,-1.20E-01
,,,-4.97E-02,-4.00E-02,,,,,-4.97E-02,4.00E-02
